origin_hdi_bin,dest_hdi_bin,avg_students
Low,Low,92444.42857142857
Low,Medium,255020.25
Low,High,650448.6964862304
Medium,Low,23157.571428571428
Medium,Medium,374472.1785714286
Medium,High,1228896.25201052
High,Low,5881.5
High,Medium,73069.71428571429
High,High,761677.6558770878
